transnational_regions,time,tp,realization
11,1944-08-01,31.98873410616097,0
11,1944-09-01,48.91458072223682,0
11,1944-10-01,72.77858402329451,0
11,1944-11-01,53.3634840593331,0
11,1944-12-01,78.77479767880456,0
11,1945-01-01,79.07211927996119,0
11,1945-02-01,12.550109690589018,0
11,1945-03-01,28.76839953069418,0
11,1945-04-01,25.714015714019745,0
11,1945-05-01,51.57674640314784,0
11,1945-06-01,21.152937416683454,0
11,1945-07-01,18.059880122709796,0
11,1945-08-01,38.43846096228327,0
11,1945-09-01,20.59623481271574,0
11,1945-10-01,60.4613443057048,0
11,1945-11-01,73.22499148513886,0
11,1945-12-01,104.49436911460492,0
11,1946-01-01,48.2996785861906,0
11,1946-02-01,33.95169159762756,0
11,1946-03-01,90.11661683393845,0
11,1946-04-01,119.11948365076354,0
11,1946-05-01,120.27942047832728,0
11,1946-06-01,32.566198269823495,0
11,1946-07-01,9.906889072823613,0
11,1946-08-01,28.12246163285355,0
11,1946-09-01,23.97910316026662,0
11,1946-10-01,55.54923192854393,0
11,1946-11-01,74.04022546905829,0
11,1946-12-01,73.75087566049658,0
11,1947-01-01,73.39309208340221,0
11,1947-02-01,152.59648568118348,0
11,1947-03-01,119.46777398764434,0
11,1947-04-01,29.95145810029754,0
11,1947-05-01,54.78166084436036,0
11,1947-06-01,21.444321289005163,0
11,1947-07-01,29.060846452032635,0
11,1947-08-01,36.168187026317085,0
11,1947-09-01,55.14911035068582,0
11,1947-10-01,62.77356871538896,0
11,1947-11-01,44.98913311020665,0
11,1947-12-01,67.15672431710044,0
11,1948-01-01,138.36907088872078,0
11,1948-02-01,63.97951349767673,0
11,1948-03-01,34.72562289581328,0
11,1948-04-01,81.95569681627956,0
11,1948-05-01,101.32664265565089,0
11,1948-06-01,38.35980358650857,0
11,1948-07-01,19.900747970497342,0
11,1948-08-01,36.328538196381075,0
11,1948-09-01,38.924613467791616,0
11,1948-10-01,52.705728157334875,0
11,1948-11-01,21.550811070038655,0
11,1948-12-01,97.05682619084442,0
11,1949-01-01,39.68063295766173,0
11,1949-02-01,26.69946232187373,0
11,1949-03-01,56.22449425793367,0
11,1949-04-01,52.56117933478795,0
11,1949-05-01,73.29161695586629,0
11,1949-06-01,34.055704529634895,0
11,1949-07-01,14.5200232035934,0
11,1949-08-01,24.20033654048389,0
11,1949-09-01,98.92333731751287,0
11,1949-10-01,30.713034823510387,0
11,1949-11-01,90.460359089849,0
11,1949-12-01,66.03344635586791,0
11,1950-01-01,35.82921176682903,0
11,1950-02-01,77.54849334952829,0
11,1950-03-01,45.157572097745174,0
11,1950-04-01,47.62573847688241,0
11,1950-05-01,85.52541669863905,0
11,1950-06-01,37.52119309727888,0
11,1950-07-01,15.373628866210229,0
11,1950-08-01,29.33790697959951,0
11,1950-09-01,35.080637809854515,0
11,1950-10-01,46.21255377820686,0
11,1950-11-01,69.20374977550941,0
11,1950-12-01,99.01735326875729,0
11,1951-01-01,87.70778404061751,0
11,1951-02-01,103.99325314660786,0
11,1951-03-01,100.16364356660745,0
11,1951-04-01,67.08122588306634,0
11,1951-05-01,94.00777093101293,0
11,1951-06-01,50.7310334988715,0
11,1951-07-01,25.577053378527978,0
11,1951-08-01,35.910802904240015,0
11,1951-09-01,41.842777495197026,0
11,1951-10-01,59.8967546610627,0
11,1951-11-01,124.43320844156918,0
11,1951-12-01,54.2228961854412,0
11,1952-01-01,65.57552438442411,0
11,1952-02-01,41.92617545645015,0
11,1952-03-01,90.09217091669962,0
11,1952-04-01,58.1836483274316,0
11,1952-05-01,71.1269805220829,0
11,1952-06-01,32.56895673799393,0
11,1952-07-01,23.505946278179927,0
11,1952-08-01,39.47446070958187,0
11,1952-09-01,48.65594230791361,0
11,1952-10-01,74.31202392508753,0
11,1952-11-01,79.93425769357367,0
11,1952-12-01,85.37458787167272,0
11,1953-01-01,32.99690656447571,0
11,1953-02-01,38.823887187797254,0
11,1953-03-01,33.33733780555019,0
11,1953-04-01,69.1794338005169,0
11,1953-05-01,29.05477274299751,0
11,1953-06-01,66.75023484862125,0
11,1953-07-01,20.553850040509694,0
11,1953-08-01,13.681374671787095,0
11,1953-09-01,54.44539124161917,0
11,1953-10-01,90.94817804356114,0
11,1953-11-01,42.18730489712023,0
11,1953-12-01,69.45293469639051,0
11,1954-01-01,48.941442439873796,0
11,1954-02-01,63.89148848631257,0
11,1954-03-01,106.85289021725418,0
11,1954-04-01,59.9128042369387,0
11,1954-05-01,58.06093894918,0
11,1954-06-01,39.48507574447257,0
11,1954-07-01,18.14615355251734,0
11,1954-08-01,48.00159700080677,0
11,1954-09-01,31.290424014283527,0
11,1954-10-01,38.9863780647525,0
11,1954-11-01,76.81439763776791,0
11,1954-12-01,51.078931148918706,0
11,1955-01-01,150.86260514113957,0
11,1955-02-01,106.85705500462441,0
11,1955-03-01,54.11366715326336,0
11,1955-04-01,28.50791049132343,0
11,1955-05-01,38.272356005846014,0
11,1955-06-01,51.38737894002867,0
11,1955-07-01,29.910824870826726,0
11,1955-08-01,20.37264626728792,0
11,1955-09-01,22.25284134369866,0
11,1955-10-01,63.50373657178335,0
11,1955-11-01,80.04837262633782,0
11,1955-12-01,111.08545838001601,0
11,1956-01-01,94.48893749927456,0
11,1956-02-01,46.89319588731515,0
11,1956-03-01,120.15081589804467,0
11,1956-04-01,92.11727632710239,0
11,1956-05-01,63.78378684340363,0
11,1956-06-01,24.66068769768748,0
11,1956-07-01,29.602363514739654,0
11,1956-08-01,49.85746161046241,0
11,1956-09-01,59.953552384730244,0
11,1956-10-01,44.38818471218093,0
11,1956-11-01,51.433965111560454,0
11,1956-12-01,34.7944966193173,0
11,1957-01-01,32.40039817405616,0
11,1957-02-01,82.40244385286347,0
11,1957-03-01,51.61079287220919,0
11,1957-04-01,73.8447656013471,0
11,1957-05-01,76.2371463923455,0
11,1957-06-01,78.40818308571397,0
11,1957-07-01,21.268087465709183,0
11,1957-08-01,24.386822099705224,0
11,1957-09-01,45.10636002344927,0
11,1957-10-01,53.95979690607989,0
11,1957-11-01,68.2342845714246,0
11,1957-12-01,63.320673070717945,0
11,1958-01-01,86.33258103782248,0
11,1958-02-01,49.80980818157056,0
11,1958-03-01,103.57600953783307,0
11,1958-04-01,58.76922523486751,0
11,1958-05-01,54.511470969007625,0
11,1958-06-01,62.790242770118056,0
11,1958-07-01,31.800375764832598,0
11,1958-08-01,46.006835403478135,0
11,1958-09-01,39.44440925234661,0
11,1958-10-01,56.17123276419275,0
11,1958-11-01,45.440506734012374,0
11,1958-12-01,167.85327284489125,0
11,1959-01-01,65.7790485599863,0
11,1959-02-01,41.4044164282445,0
11,1959-03-01,100.55786300193314,0
11,1959-04-01,74.70102324678511,0
11,1959-05-01,80.77192799453388,0
11,1959-06-01,40.5693445134759,0
11,1959-07-01,25.412991742539692,0
11,1959-08-01,34.009131146237905,0
11,1959-09-01,81.89987772781205,0
11,1959-10-01,76.67169171026742,0
11,1959-11-01,98.67271233551384,0
11,1959-12-01,135.96650638439783,0
11,1960-01-01,84.80433470111723,0
11,1960-02-01,107.23631411614348,0
11,1960-03-01,108.4958034438173,0
11,1960-04-01,37.4155767493786,0
11,1960-05-01,60.4820496867171,0
11,1960-06-01,47.63252627582794,0
11,1960-07-01,35.74677888595479,0
11,1960-08-01,47.28100972551182,0
11,1960-09-01,64.36895658527384,0
11,1960-10-01,183.79086813274205,0
11,1960-11-01,93.84231040784317,0
11,1960-12-01,118.2841296648903,0
11,1961-01-01,76.99376390339074,0
11,1961-02-01,28.32613304121523,0
11,1961-03-01,16.75322195574396,0
11,1961-04-01,77.13098259694434,0
11,1961-05-01,74.4670277858518,0
11,1961-06-01,39.388900698533895,0
11,1961-07-01,29.869788568370616,0
11,1961-08-01,22.768491237879694,0
11,1961-09-01,63.641378066579804,0
11,1961-10-01,85.11378081066769,0
11,1961-11-01,130.27972406122018,0
11,1961-12-01,95.2423040308131,0
11,1962-01-01,82.15658275507352,0
11,1962-02-01,49.414570032937306,0
11,1962-03-01,128.7745292384539,0
