time,axis_nbounds,lat,lon,time_bounds,pr
2015-01-16 12:00:00,0.5,40.56338,-2.5,2015-01-16 12:00:00,3.5656263e-05
2015-02-15 00:00:00,0.5,40.56338,-2.5,2015-02-15 00:00:00,1.6615782e-05
2015-03-16 12:00:00,0.5,40.56338,-2.5,2015-03-16 12:00:00,3.6914575e-05
2015-04-16 00:00:00,0.5,40.56338,-2.5,2015-04-16 00:00:00,3.134308e-05
2015-05-16 12:00:00,0.5,40.56338,-2.5,2015-05-16 12:00:00,7.9245736e-05
2015-06-16 00:00:00,0.5,40.56338,-2.5,2015-06-16 00:00:00,3.840548e-05
2015-07-16 12:00:00,0.5,40.56338,-2.5,2015-07-16 12:00:00,5.3284104e-05
2015-08-16 12:00:00,0.5,40.56338,-2.5,2015-08-16 12:00:00,7.95821e-05
2015-09-16 00:00:00,0.5,40.56338,-2.5,2015-09-16 00:00:00,6.4513995e-05
2015-10-16 12:00:00,0.5,40.56338,-2.5,2015-10-16 12:00:00,1.2503605e-05
2015-11-16 00:00:00,0.5,40.56338,-2.5,2015-11-16 00:00:00,1.3611894e-05
2015-12-16 12:00:00,0.5,40.56338,-2.5,2015-12-16 12:00:00,2.669017e-05
2016-01-16 12:00:00,0.5,40.56338,-2.5,2016-01-16 12:00:00,1.4547811e-05
2016-02-15 12:00:00,0.5,40.56338,-2.5,2016-02-15 12:00:00,2.8421824e-05
2016-03-16 12:00:00,0.5,40.56338,-2.5,2016-03-16 12:00:00,3.8504146e-05
2016-04-16 00:00:00,0.5,40.56338,-2.5,2016-04-16 00:00:00,6.897331e-05
2016-05-16 12:00:00,0.5,40.56338,-2.5,2016-05-16 12:00:00,4.3404867e-05
2016-06-16 00:00:00,0.5,40.56338,-2.5,2016-06-16 00:00:00,6.920256e-05
2016-07-16 12:00:00,0.5,40.56338,-2.5,2016-07-16 12:00:00,7.924229e-05
2016-08-16 12:00:00,0.5,40.56338,-2.5,2016-08-16 12:00:00,3.6566616e-05
2016-09-16 00:00:00,0.5,40.56338,-2.5,2016-09-16 00:00:00,3.886821e-05
2016-10-16 12:00:00,0.5,40.56338,-2.5,2016-10-16 12:00:00,6.916298e-06
2016-11-16 00:00:00,0.5,40.56338,-2.5,2016-11-16 00:00:00,4.890755e-05
2016-12-16 12:00:00,0.5,40.56338,-2.5,2016-12-16 12:00:00,2.4820525e-05
2017-01-16 12:00:00,0.5,40.56338,-2.5,2017-01-16 12:00:00,1.3245814e-05
2017-02-15 00:00:00,0.5,40.56338,-2.5,2017-02-15 00:00:00,5.3009102e-05
2017-03-16 12:00:00,0.5,40.56338,-2.5,2017-03-16 12:00:00,1.5750893e-05
2017-04-16 00:00:00,0.5,40.56338,-2.5,2017-04-16 00:00:00,2.8971699e-05
2017-05-16 12:00:00,0.5,40.56338,-2.5,2017-05-16 12:00:00,7.376297e-05
2017-06-16 00:00:00,0.5,40.56338,-2.5,2017-06-16 00:00:00,5.4920645e-05
2017-07-16 12:00:00,0.5,40.56338,-2.5,2017-07-16 12:00:00,8.295979e-05
2017-08-16 12:00:00,0.5,40.56338,-2.5,2017-08-16 12:00:00,6.9210706e-05
2017-09-16 00:00:00,0.5,40.56338,-2.5,2017-09-16 00:00:00,4.0337563e-05
2017-10-16 12:00:00,0.5,40.56338,-2.5,2017-10-16 12:00:00,1.0202289e-05
2017-11-16 00:00:00,0.5,40.56338,-2.5,2017-11-16 00:00:00,2.6353528e-05
2017-12-16 12:00:00,0.5,40.56338,-2.5,2017-12-16 12:00:00,7.63758e-06
2018-01-16 12:00:00,0.5,40.56338,-2.5,2018-01-16 12:00:00,1.048405e-05
2018-02-15 00:00:00,0.5,40.56338,-2.5,2018-02-15 00:00:00,1.4704489e-05
2018-03-16 12:00:00,0.5,40.56338,-2.5,2018-03-16 12:00:00,5.5472105e-07
2018-04-16 00:00:00,0.5,40.56338,-2.5,2018-04-16 00:00:00,2.5343634e-05
2018-05-16 12:00:00,0.5,40.56338,-2.5,2018-05-16 12:00:00,3.200558e-05
2018-06-16 00:00:00,0.5,40.56338,-2.5,2018-06-16 00:00:00,2.826981e-05
2018-07-16 12:00:00,0.5,40.56338,-2.5,2018-07-16 12:00:00,3.970864e-05
2018-08-16 12:00:00,0.5,40.56338,-2.5,2018-08-16 12:00:00,4.843659e-05
2018-09-16 00:00:00,0.5,40.56338,-2.5,2018-09-16 00:00:00,3.924082e-05
2018-10-16 12:00:00,0.5,40.56338,-2.5,2018-10-16 12:00:00,3.7192793e-05
2018-11-16 00:00:00,0.5,40.56338,-2.5,2018-11-16 00:00:00,1.1047103e-05
2018-12-16 12:00:00,0.5,40.56338,-2.5,2018-12-16 12:00:00,1.4835867e-05
2019-01-16 12:00:00,0.5,40.56338,-2.5,2019-01-16 12:00:00,8.008165e-06
2019-02-15 00:00:00,0.5,40.56338,-2.5,2019-02-15 00:00:00,1.9837238e-05
2019-03-16 12:00:00,0.5,40.56338,-2.5,2019-03-16 12:00:00,1.6558724e-05
2019-04-16 00:00:00,0.5,40.56338,-2.5,2019-04-16 00:00:00,4.724961e-05
2019-05-16 12:00:00,0.5,40.56338,-2.5,2019-05-16 12:00:00,2.8480536e-05
2019-06-16 00:00:00,0.5,40.56338,-2.5,2019-06-16 00:00:00,1.4484444e-05
