"Label";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes"
"idBank";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"04/11/2024 15:48";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";"";"01/01/1970 01:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"100.2";"A";"99.7";"A";"99.7";"A";"99.7";"A"
"2017";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.7";"A";"96.3";"A";"96.3";"A";"96.3";"A"
"2016";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.5";"A";"95.0";"A";"95.0";"A";"95.0";"A"
"2015";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"97.2";"A";"97.2";"A";"97.2";"A"
"2014";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"100.3";"A";"99.2";"A";"99.2";"A";"99.2";"A"
"2013";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"102.8";"A";"101.6";"A";"101.6";"A";"101.6";"A"
"2012";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"101.8";"A";"100.4";"A";"100.4";"A";"100.4";"A"
"2011";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"98.8";"A";"97.5";"A";"97.5";"A";"97.5";"A"
"2010";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"90.6";"A";"89.8";"A";"89.8";"A";"89.8";"A"
"2009";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"90.1";"A";"89.1";"A";"89.1";"A";"89.1";"A"
"2008";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"96.2";"A";"94.6";"A";"94.6";"A";"94.6";"A"
"2007";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.0";"A";"84.0";"A";"84.0";"A"
"2006";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"80.3";"A";"79.6";"A";"79.6";"A";"79.6";"A"
"2005";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"78.1";"A";"77.4";"A";"77.4";"A";"77.4";"A"
