time,bnds,lat,lon,time_bnds,lat_bnds,lon_bnds,pr
2015-04-16 00:00:00,0.5,40.1029793042494,-3.75,2015-04-16 00:00:00,40.10297871703475,-3.75,3.167297e-06
2015-05-16 12:00:00,0.5,40.1029793042494,-3.75,2015-05-16 12:00:00,40.10297871703475,-3.75,2.4092893e-05
2015-06-16 00:00:00,0.5,40.1029793042494,-3.75,2015-06-16 00:00:00,40.10297871703475,-3.75,1.0257063e-06
2015-07-16 12:00:00,0.5,40.1029793042494,-3.75,2015-07-16 12:00:00,40.10297871703475,-3.75,1.3061945e-06
2016-04-16 00:00:00,0.5,40.1029793042494,-3.75,2016-04-16 00:00:00,40.10297871703475,-3.75,1.7694925e-05
2016-05-16 12:00:00,0.5,40.1029793042494,-3.75,2016-05-16 12:00:00,40.10297871703475,-3.75,4.5094916e-05
2016-06-16 00:00:00,0.5,40.1029793042494,-3.75,2016-06-16 00:00:00,40.10297871703475,-3.75,4.331331e-05
2016-07-16 12:00:00,0.5,40.1029793042494,-3.75,2016-07-16 12:00:00,40.10297871703475,-3.75,2.6213092e-06
2017-04-16 00:00:00,0.5,40.1029793042494,-3.75,2017-04-16 00:00:00,40.10297871703475,-3.75,3.679139e-05
2017-05-16 12:00:00,0.5,40.1029793042494,-3.75,2017-05-16 12:00:00,40.10297871703475,-3.75,2.2534325e-05
2017-06-16 00:00:00,0.5,40.1029793042494,-3.75,2017-06-16 00:00:00,40.10297871703475,-3.75,2.9364746e-05
2017-07-16 12:00:00,0.5,40.1029793042494,-3.75,2017-07-16 12:00:00,40.10297871703475,-3.75,4.0553277e-07
2018-04-16 00:00:00,0.5,40.1029793042494,-3.75,2018-04-16 00:00:00,40.10297871703475,-3.75,4.113974e-05
2018-05-16 12:00:00,0.5,40.1029793042494,-3.75,2018-05-16 12:00:00,40.10297871703475,-3.75,1.2839926e-05
2018-06-16 00:00:00,0.5,40.1029793042494,-3.75,2018-06-16 00:00:00,40.10297871703475,-3.75,1.7647486e-05
2018-07-16 12:00:00,0.5,40.1029793042494,-3.75,2018-07-16 12:00:00,40.10297871703475,-3.75,9.734184e-06
2019-04-16 00:00:00,0.5,40.1029793042494,-3.75,2019-04-16 00:00:00,40.10297871703475,-3.75,4.1257066e-05
2019-05-16 12:00:00,0.5,40.1029793042494,-3.75,2019-05-16 12:00:00,40.10297871703475,-3.75,1.1879019e-05
2019-06-16 00:00:00,0.5,40.1029793042494,-3.75,2019-06-16 00:00:00,40.10297871703475,-3.75,1.5915779e-05
2019-07-16 12:00:00,0.5,40.1029793042494,-3.75,2019-07-16 12:00:00,40.10297871703475,-3.75,1.5581318e-06
2020-04-16 00:00:00,0.5,40.1029793042494,-3.75,2020-04-16 00:00:00,40.10297871703475,-3.75,2.8344642e-05
2020-05-16 12:00:00,0.5,40.1029793042494,-3.75,2020-05-16 12:00:00,40.10297871703475,-3.75,3.475693e-05
2020-06-16 00:00:00,0.5,40.1029793042494,-3.75,2020-06-16 00:00:00,40.10297871703475,-3.75,2.9939692e-06
2020-07-16 12:00:00,0.5,40.1029793042494,-3.75,2020-07-16 12:00:00,40.10297871703475,-3.75,1.5836558e-06
2021-04-16 00:00:00,0.5,40.1029793042494,-3.75,2021-04-16 00:00:00,40.10297871703475,-3.75,3.729086e-05
2021-05-16 12:00:00,0.5,40.1029793042494,-3.75,2021-05-16 12:00:00,40.10297871703475,-3.75,4.842528e-06
2021-06-16 00:00:00,0.5,40.1029793042494,-3.75,2021-06-16 00:00:00,40.10297871703475,-3.75,1.8475053e-05
2021-07-16 12:00:00,0.5,40.1029793042494,-3.75,2021-07-16 12:00:00,40.10297871703475,-3.75,1.6004778e-06
2022-04-16 00:00:00,0.5,40.1029793042494,-3.75,2022-04-16 00:00:00,40.10297871703475,-3.75,1.7653743e-05
2022-05-16 12:00:00,0.5,40.1029793042494,-3.75,2022-05-16 12:00:00,40.10297871703475,-3.75,1.5587459e-05
2022-06-16 00:00:00,0.5,40.1029793042494,-3.75,2022-06-16 00:00:00,40.10297871703475,-3.75,6.0616294e-06
2022-07-16 12:00:00,0.5,40.1029793042494,-3.75,2022-07-16 12:00:00,40.10297871703475,-3.75,2.5006302e-05
2023-04-16 00:00:00,0.5,40.1029793042494,-3.75,2023-04-16 00:00:00,40.10297871703475,-3.75,1.6971142e-05
2023-05-16 12:00:00,0.5,40.1029793042494,-3.75,2023-05-16 12:00:00,40.10297871703475,-3.75,2.3026543e-05
2023-06-16 00:00:00,0.5,40.1029793042494,-3.75,2023-06-16 00:00:00,40.10297871703475,-3.75,2.2237808e-05
2023-07-16 12:00:00,0.5,40.1029793042494,-3.75,2023-07-16 12:00:00,40.10297871703475,-3.75,3.2068638e-06
2024-04-16 00:00:00,0.5,40.1029793042494,-3.75,2024-04-16 00:00:00,40.10297871703475,-3.75,1.07866945e-05
2024-05-16 12:00:00,0.5,40.1029793042494,-3.75,2024-05-16 12:00:00,40.10297871703475,-3.75,2.9262257e-05
2024-06-16 00:00:00,0.5,40.1029793042494,-3.75,2024-06-16 00:00:00,40.10297871703475,-3.75,2.9727962e-06
2024-07-16 12:00:00,0.5,40.1029793042494,-3.75,2024-07-16 12:00:00,40.10297871703475,-3.75,1.489243e-07
2025-04-16 00:00:00,0.5,40.1029793042494,-3.75,2025-04-16 00:00:00,40.10297871703475,-3.75,4.6274734e-05
2025-05-16 12:00:00,0.5,40.1029793042494,-3.75,2025-05-16 12:00:00,40.10297871703475,-3.75,6.8528607e-06
2025-06-16 00:00:00,0.5,40.1029793042494,-3.75,2025-06-16 00:00:00,40.10297871703475,-3.75,1.9798172e-05
2025-07-16 12:00:00,0.5,40.1029793042494,-3.75,2025-07-16 12:00:00,40.10297871703475,-3.75,1.3580109e-05
2026-04-16 00:00:00,0.5,40.1029793042494,-3.75,2026-04-16 00:00:00,40.10297871703475,-3.75,2.284137e-05
2026-05-16 12:00:00,0.5,40.1029793042494,-3.75,2026-05-16 12:00:00,40.10297871703475,-3.75,2.151428e-06
