time,lat,lon,SPI3
2020-01-01 06:00:00,40.5,-3.75,0.5205389760681359
2020-02-01 06:00:00,40.5,-3.75,0.17499072320154155
2020-03-01 06:00:00,40.5,-3.75,0.05212128891656462
2020-04-01 06:00:00,40.5,-3.75,0.9000052169962282
2020-05-01 06:00:00,40.5,-3.75,1.2061008466126222
2020-06-01 06:00:00,40.5,-3.75,0.6801294556295812
2020-07-01 06:00:00,40.5,-3.75,-0.18112936496351037
2020-08-01 06:00:00,40.5,-3.75,0.7475549734025666
2020-09-01 06:00:00,40.5,-3.75,1.2416850257796512
2020-10-01 06:00:00,40.5,-3.75,1.1910341647600187
2020-11-01 06:00:00,40.5,-3.75,1.0828020328033066
2020-12-01 06:00:00,40.5,-3.75,0.6504404032802664
