time,axis_nbounds,lat,lon,time_bounds,pr
2031-05-16 12:00:00,0.5,40.56338,-2.5,2031-05-16 12:00:00,2.2876657e-05
2031-06-16 00:00:00,0.5,40.56338,-2.5,2031-06-16 00:00:00,7.407388e-05
2031-07-16 12:00:00,0.5,40.56338,-2.5,2031-07-16 12:00:00,9.526592e-05
2032-04-16 00:00:00,0.5,40.56338,-2.5,2032-04-16 00:00:00,7.912829e-06
2032-05-16 12:00:00,0.5,40.56338,-2.5,2032-05-16 12:00:00,9.108271e-06
2032-06-16 00:00:00,0.5,40.56338,-2.5,2032-06-16 00:00:00,1.3383515e-05
2032-07-16 12:00:00,0.5,40.56338,-2.5,2032-07-16 12:00:00,5.35234e-05
2033-04-16 00:00:00,0.5,40.56338,-2.5,2033-04-16 00:00:00,8.14968e-05
2033-05-16 12:00:00,0.5,40.56338,-2.5,2033-05-16 12:00:00,2.7874526e-05
2033-06-16 00:00:00,0.5,40.56338,-2.5,2033-06-16 00:00:00,3.2251246e-05
2033-07-16 12:00:00,0.5,40.56338,-2.5,2033-07-16 12:00:00,2.0523232e-05
2034-04-16 00:00:00,0.5,40.56338,-2.5,2034-04-16 00:00:00,1.8770561e-05
2034-05-16 12:00:00,0.5,40.56338,-2.5,2034-05-16 12:00:00,3.541308e-05
2034-06-16 00:00:00,0.5,40.56338,-2.5,2034-06-16 00:00:00,4.1206295e-05
2034-07-16 12:00:00,0.5,40.56338,-2.5,2034-07-16 12:00:00,3.8252805e-05
2035-04-16 00:00:00,0.5,40.56338,-2.5,2035-04-16 00:00:00,1.3959895e-05
2035-05-16 12:00:00,0.5,40.56338,-2.5,2035-05-16 12:00:00,8.543379e-05
2035-06-16 00:00:00,0.5,40.56338,-2.5,2035-06-16 00:00:00,6.655594e-05
2035-07-16 12:00:00,0.5,40.56338,-2.5,2035-07-16 12:00:00,3.967972e-05
2036-04-16 00:00:00,0.5,40.56338,-2.5,2036-04-16 00:00:00,2.3680836e-05
2036-05-16 12:00:00,0.5,40.56338,-2.5,2036-05-16 12:00:00,2.7941089e-05
2036-06-16 00:00:00,0.5,40.56338,-2.5,2036-06-16 00:00:00,2.9239249e-05
2036-07-16 12:00:00,0.5,40.56338,-2.5,2036-07-16 12:00:00,3.3207118e-05
2037-04-16 00:00:00,0.5,40.56338,-2.5,2037-04-16 00:00:00,7.894376e-06
2037-05-16 12:00:00,0.5,40.56338,-2.5,2037-05-16 12:00:00,1.8076615e-05
2037-06-16 00:00:00,0.5,40.56338,-2.5,2037-06-16 00:00:00,5.510524e-05
2037-07-16 12:00:00,0.5,40.56338,-2.5,2037-07-16 12:00:00,6.4960645e-05
2038-04-16 00:00:00,0.5,40.56338,-2.5,2038-04-16 00:00:00,6.716596e-05
2038-05-16 12:00:00,0.5,40.56338,-2.5,2038-05-16 12:00:00,3.9943974e-05
2038-06-16 00:00:00,0.5,40.56338,-2.5,2038-06-16 00:00:00,9.9112876e-05
2038-07-16 12:00:00,0.5,40.56338,-2.5,2038-07-16 12:00:00,2.8388464e-05
2039-04-16 00:00:00,0.5,40.56338,-2.5,2039-04-16 00:00:00,3.835857e-05
2039-05-16 12:00:00,0.5,40.56338,-2.5,2039-05-16 12:00:00,3.035027e-05
2039-06-16 00:00:00,0.5,40.56338,-2.5,2039-06-16 00:00:00,3.8197453e-05
2039-07-16 12:00:00,0.5,40.56338,-2.5,2039-07-16 12:00:00,3.2026895e-05
2040-04-16 00:00:00,0.5,40.56338,-2.5,2040-04-16 00:00:00,1.4433591e-05
2040-05-16 12:00:00,0.5,40.56338,-2.5,2040-05-16 12:00:00,1.7031334e-05
2040-06-16 00:00:00,0.5,40.56338,-2.5,2040-06-16 00:00:00,5.6347057e-05
2040-07-16 12:00:00,0.5,40.56338,-2.5,2040-07-16 12:00:00,4.6152963e-05
2041-04-16 00:00:00,0.5,40.56338,-2.5,2041-04-16 00:00:00,7.657154e-06
2041-05-16 12:00:00,0.5,40.56338,-2.5,2041-05-16 12:00:00,2.9434426e-05
2041-06-16 00:00:00,0.5,40.56338,-2.5,2041-06-16 00:00:00,3.808673e-05
